名字,姓氏,goat_score_stats,场均综合分,耐久系数,场均得分,场均篮板,场均助攻,场均抢断,场均盖帽,场均失误,投篮命中率,出场总数,场均得分_分,场均篮板_分,场均助攻_分,场均抢断_分,场均盖帽_分,场均失误_分
Norm,Van Lier,9.1,9.1,1.0,,,7.00,,,,,,,,9.1,,,
Mark,Jackson,9.02,8.03,1.1229,,,7.83,1.21,,2.34,,1336,,,10.179,2.299,,-4.446
Shaun,Livingston,8.99,7.98,1.1262,,,6.14,,,,53.0,1346,,,7.982,,,
Mark,Price,8.71,8.71,1.0,,,6.70,,,,,,,,8.71,,,
Lenny,Wilkens,8.71,8.71,1.0,,,6.70,,,,,,,,8.71,,,
Paul,Silas,8.67,7.92,1.0948,,9.90,,,,,,1254,,7.92,,,,
Swen,Nater,8.64,8.64,1.0,,10.80,,,,,54.0,,,8.64,,,,
Deron,Williams,8.62,8.62,1.0,,,6.63,,,,,,,,8.619,,,
Shawn,Kemp,8.57,8.57,1.0,,8.45,,,1.21,,,,,6.76,,,1.815,
Harry,Gallatin,8.48,8.48,1.0,,10.60,,,,,,,,8.48,,,,
Pooh,Richardson,8.45,8.45,1.0,,,6.50,,,,,,,,8.45,,,
Scott,Skiles,8.45,8.45,1.0,,,6.50,,,,,,,,8.45,,,
Zelmo,Beaty,8.32,8.32,1.0,,10.40,,,,,,,,8.32,,,,
Phil,Ford,8.32,8.32,1.0,,,6.40,,,,,,,,8.32,,,
Horace,Grant,8.29,7.74,1.071,,7.88,,,0.96,,,1187,,6.304,,,1.44,
Nick,Van Exel,8.28,8.28,1.0,,,6.37,,,,,,,,8.281,,,
Damon,Stoudamire,7.98,7.98,1.0,,,6.14,,,,,,,,7.982,,,
Larry,Foust,7.84,7.84,1.0,,9.80,,,,,,,,7.84,,,,
Jack,Sikma,7.84,7.84,1.0,,9.80,,,,,,,,7.84,,,,
Bill,Laimbeer,7.76,7.76,1.0,,9.70,,,,,,,,7.76,,,,
Sherman,Douglas,7.67,7.67,1.0,,,5.90,,,,,,,,7.67,,,
Clyde,Lovellette,7.6,7.6,1.0,,9.50,,,,,,,,7.6,,,,
Paul,Millsap,7.6,7.6,1.0,,9.50,,,,,54.0,,,7.6,,,,
Truck,Robinson,7.52,7.52,1.0,,9.40,,,,,,,,7.52,,,,
Raymond,Felton,7.48,7.48,1.0,,,5.75,,,,,,,,7.475,,,
Larry,Smith,7.36,7.36,1.0,,9.20,,,,,53.0,,,7.36,,,,
T.J.,Ford,7.24,7.24,1.0,,,5.57,,,,,,,,7.241,,,
Steve,Francis,7.21,7.21,1.0,,,5.55,,,,,,,,7.215,,,
Andy,Phillip,7.15,7.15,1.0,,,5.50,,,,,,,,7.15,,,
Kenny,Smith,7.15,7.15,1.0,,,5.50,,,,,,,,7.15,,,
Vlade,Divac,7.14,6.63,1.0771,,7.77,,1.10,1.39,1.98,,1204,,6.216,,2.09,2.085,-3.762
Ray,Felix,7.12,7.12,1.0,,8.90,,,,,,,,7.12,,,,
Clifford,Ray,7.12,7.12,1.0,,8.90,,,,,52.0,,,7.12,,,,
Luke,Jackson,7.04,7.04,1.0,,8.80,,,,,,,,7.04,,,,
Maurice,Lucas,7.04,7.04,1.0,,8.80,,,,,,,,7.04,,,,
Jay,Williams,6.98,6.98,1.0,,,5.37,,,,,,,,6.981,,,
Arnie,Risen,6.96,6.96,1.0,,8.70,,,,,,,,6.96,,,,
Sidney,Wicks,6.96,6.96,1.0,,8.70,,,,,,,,6.96,,,,
Kris,Humphries,6.87,6.32,1.0863,,7.90,,,,,,1230,,6.32,,,,
Kelvin,Ransey,6.76,6.76,1.0,,,5.20,,,,,,,,6.76,,,
Anthony,Mason,6.72,6.72,1.0,,8.40,,,,,51.0,,,6.72,,,,
A.C.,Green,6.54,5.93,1.1031,,7.41,,,,,,1278,,5.928,,,,
Andrei,Kirilenko,6.19,6.19,1.0,,,,1.63,2.06,,,,,,,3.097,3.09,
Charles,Oakley,6.13,5.64,1.0877,,9.80,,1.08,,2.24,,1234,,7.84,,2.052,,-4.256
Mark,Eaton,5.25,5.25,1.0,,,,,3.50,,,,,,,,5.25,
Alvin,Robertson,5.13,5.13,1.0,,,,2.70,,,,,,,,5.13,,
Baron,Davis,5.08,4.68,1.0853,,,4.97,1.52,,2.46,,1227,,,6.461,2.888,,-4.674
Manute,Bol,4.95,4.95,1.0,,,,,3.30,,,,,,,,4.95,
Buck,Williams,4.4,3.95,1.113,,10.00,,,,2.13,55.0,1307,,8.0,,,,-4.047
