名字,姓氏,goat_score_combined,荣誉分,荣誉归一化,数据分,数据归一化
Shareef,Abdur-Rahim,11.9,0.0,0.0,23.08,39.66
Ben,Wallace,11.77,52.0,9.18,11.29,17.8
Marques,Johnson,11.6,11.0,1.94,20.1,34.13
Geoff,Petrie,11.27,0.7,0.12,21.8,37.28
Joakim,Noah,10.96,47.0,8.3,10.94,17.15
Cliff,Hagan,10.92,14.98,2.64,18.0,30.24
World B.,Free,10.72,3.0,0.53,20.3,34.5
Joe,Johnson,10.64,0.0,0.0,20.82,35.47
Lou,Hudson,10.55,2.1,0.37,20.2,34.32
Maurice,Cheeks,10.52,35.6,6.28,12.7,20.41
Walter,Davis,10.44,7.0,1.24,18.9,31.91
Jack,Twyman,10.26,4.2,0.74,19.2,32.46
Bob,Dandridge,10.22,7.0,1.24,18.5,31.16
Jerry,Stackhouse,10.19,0.0,0.0,20.01,33.96
Earl,Monroe,10.03,4.2,0.74,18.8,31.72
Alex,English,9.96,6.0,1.06,18.26,30.72
Glenn,Robinson,9.92,0.0,0.0,19.52,33.06
Tom,Chambers,9.87,6.0,1.06,18.1,30.42
Gail,Goodrich,9.84,3.5,0.62,18.6,31.35
Joe,Dumars,9.83,79.6,14.05,,
Antoine,Walker,9.71,0.0,0.0,19.14,32.35
Jeff,Malone,9.63,0.0,0.0,19.0,32.09
Glen,Rice,9.59,5.0,0.88,17.83,29.92
Otis,Birdsong,9.44,3.0,0.53,18.0,30.24
Andrei,Kirilenko,9.3,55.0,9.71,6.19,8.34
Antawn,Jamison,9.27,0.0,0.0,18.35,30.89
Alonzo,Mourning,9.18,30.0,5.29,11.54,18.26
Kevin,Johnson,8.95,14.0,2.47,14.68,24.08
Tim,Hardaway,8.83,16.0,2.82,14.02,22.86
Wally,Szczerbiak,8.83,0.0,0.0,17.56,29.42
Mookie,Blaylock,8.81,20.0,3.53,13.08,21.12
Chris,Kaman,8.64,16.0,2.82,13.68,22.23
Micheal Ray,Richardson,7.98,9.0,1.59,14.04,22.9
Jerry,Lucas,7.9,15.4,2.72,12.48,20.0
Brandon,Roy,7.64,13.0,2.29,12.55,20.13
Joel,Embiid,7.54,61.0,10.77,,
Norm,Nixon,7.19,4.4,0.78,13.64,22.15
James,Pollard,7.09,57.4,10.13,,
Karl-Anthony,Towns,7.04,57.0,10.06,,
Johnny,Moore,6.9,3.0,0.53,13.42,21.75
Bill,Sharman,6.88,55.72,9.83,,
Rod,Strickland,6.64,6.0,1.06,12.29,19.65
Paul,Silas,6.61,22.12,3.9,8.67,12.94
Kevin,McHale,6.58,49.4,8.72,2.55,1.59
Horace,Grant,6.56,23.4,4.13,8.29,12.24
DeMarcus,Cousins,6.54,53.0,9.35,,
Dave,Cowens,6.5,11.2,1.98,10.88,17.04
Fat,Lever,6.48,5.0,0.88,12.24,19.56
Gus,Johnson,6.44,14.0,2.47,10.16,15.7
Stephen,Curry,6.43,52.0,9.18,,
Bobby,Jones,6.38,51.6,9.11,,
Kevin,Porter,6.29,11.1,1.96,10.53,16.39
Slick,Watts,6.23,3.5,0.62,12.11,19.32
Nate,McMillan,6.22,6.0,1.06,11.54,18.26
Gus,Williams,6.21,8.0,1.41,11.08,17.41
Mark,Eaton,6.18,34.0,6.0,5.25,6.6
George,McGinnis,6.02,6.5,1.15,11.07,17.39
Andre,Miller,5.9,9.0,1.59,10.3,15.96
Elmore,Smith,5.7,1.4,0.25,11.63,18.43
Adolph,Schayes,5.67,45.92,8.1,,
Derek,Harper,5.65,4.0,0.71,10.96,17.19
Alvin,Robertson,5.62,30.0,5.29,5.13,6.38
John,Lucas,5.6,0.0,0.0,11.76,18.67
Sidney,Moncrief,5.56,45.0,7.94,,
Paul,Pressey,5.46,10.0,1.76,9.29,14.09
Dave,DeBusschere,5.38,43.54,7.68,,
Artis,Gilmore,5.38,2.0,0.35,10.93,17.13
Micheal,Williams,5.29,2.0,0.35,10.77,16.83
Mark,Price,5.26,11.0,1.94,8.71,13.01
Guy,Rodgers,5.22,4.2,0.74,10.14,15.67
Marcus,Camby,5.21,2.0,0.35,10.61,16.54
Derrick,Coleman,5.18,5.0,0.88,9.9,15.22
Greg,Oden,5.13,2.0,0.35,10.47,16.28
James,Worthy,5.07,41.0,7.24,,
Jamaal,Tinsley,5.05,0.0,0.0,10.77,16.83
Shawn,Kemp,4.94,9.0,1.59,8.57,12.75
Jason,Williams,4.88,0.0,0.0,10.47,16.28
Ralph,Sampson,4.81,4.0,0.71,9.44,14.37
Rickey,Green,4.76,2.0,0.35,9.81,15.05
Terrell,Brandon,4.73,0.0,0.0,10.19,15.76
Harry,Gallatin,4.73,7.7,1.36,8.48,12.59
Bill,Bridges,4.7,2.8,0.49,9.52,14.52
Brevin,Knight,4.69,0.0,0.0,10.12,15.63
Mark,Jackson,4.57,4.0,0.71,9.02,13.59
Geoffrey,Knight,4.57,37.0,6.53,,
Cedric,Maxwell,4.57,37.0,6.53,,
Norm,Van Lier,4.38,2.1,0.37,9.1,13.74
Rony,Seikaly,4.37,0.0,0.0,9.55,14.57
Devin,Harris,4.29,0.0,0.0,9.41,14.31
Ron,Artest,4.23,26.0,4.59,3.52,3.39
Swen,Nater,4.23,3.0,0.53,8.64,12.88
Phil,Ford,4.18,4.0,0.71,8.32,12.29
Lenny,Wilkens,4.16,2.1,0.37,8.71,13.01
Carlos,Boozer,4.13,0.0,0.0,9.11,13.76
Larry,Foust,4.11,5.6,0.99,7.84,11.4
Maurice,Lucas,4.09,9.0,1.59,7.04,9.92
Shaun,Livingston,4.06,0.0,0.0,8.99,13.53
Deron,Williams,3.85,0.0,0.0,8.62,12.85
Nathaniel,Archibald,3.83,31.0,5.47,,
Andy,Phillip,3.81,6.3,1.11,7.15,10.12
Pooh,Richardson,3.76,0.0,0.0,8.45,12.53
Scott,Skiles,3.76,0.0,0.0,8.45,12.53
Bill,Laimbeer,3.75,3.0,0.53,7.76,11.25
Aldonse,Miksis,3.7,29.96,5.29,,
Zelmo,Beaty,3.69,0.0,0.0,8.32,12.29
Jack,Sikma,3.67,2.0,0.35,7.84,11.4
Nick,Van Exel,3.67,0.0,0.0,8.28,12.22
Damon,Stoudamire,3.62,1.0,0.18,7.98,11.66
Truck,Robinson,3.61,3.0,0.53,7.52,10.81
Clyde,Lovellette,3.55,2.1,0.37,7.6,10.96
Bob,Davies,3.51,28.42,5.02,,
Nate,Johnston,3.51,28.42,5.02,,
Buck,Williams,3.48,16.0,2.82,4.4,5.02
Sam,Jones,3.44,27.86,4.92,,
Sherman,Douglas,3.33,0.0,0.0,7.67,11.09
Anthony,Mason,3.3,4.0,0.71,6.72,9.33
Paul,Millsap,3.29,0.0,0.0,7.6,10.96
Raymond,Felton,3.22,0.0,0.0,7.48,10.73
Charles,Oakley,3.21,6.0,1.06,6.13,8.23
Jo Jo,White,3.2,25.9,4.57,,
Steve,Francis,3.19,1.0,0.18,7.21,10.23
