名字,姓氏,goat_score_combined,荣誉分,荣誉归一化,数据分,数据归一化
Daniel,Gafford,0.0,0.0,0.0,,
Francisco,Garcia,0.0,0.0,0.0,,
Dean,Garrett,0.0,0.0,0.0,,
Rudy,Gay,0.0,0.0,0.0,,
Josh,Giddey,0.0,0.0,0.0,,
Shai,Gilgeous-Alexander,0.0,0.0,0.0,,
Armen,Gilliam,0.0,0.0,0.0,,
Freddie,Gilmore,0.0,0.0,0.0,,
Manu,Ginobili,0.0,0.0,0.0,,
Drew,Gooden,0.0,0.0,0.0,,
Aaron,Gordon,0.0,0.0,0.0,,
Danny,Granger,0.0,0.0,0.0,,
Brian,Grant,0.0,0.0,0.0,,
Draymond,Green,0.0,0.0,0.0,,
Gerald,Green,0.0,0.0,0.0,,
Jalen,Green,0.0,0.0,0.0,,
David,Greenwood,0.0,0.0,0.0,,
Gary,Gregor,0.0,0.0,0.0,,
Blake,Griffin,0.0,0.0,0.0,,
Eddie,Griffin,0.0,0.0,0.0,,
Tyrese,Haliburton,0.0,0.0,0.0,,
Louie,Hammons,0.0,0.0,0.0,,
Matt,Harpring,0.0,0.0,0.0,,
Josh,Hart,0.0,0.0,0.0,,
Arnold,Hasselhoff,0.0,0.0,0.0,,
Gordon,Hayward,0.0,0.0,0.0,,
Johnny R.,Haywood,0.0,0.0,0.0,1.69,0.0
Garfield,Heard,0.0,0.0,0.0,,
Alan,Henderson,0.0,0.0,0.0,,
Cedric E.,Henderson,0.0,0.0,0.0,,
Scoot,Henderson,0.0,0.0,0.0,,
Taylor,Hendricks,0.0,0.0,0.0,,
John,Henson,0.0,0.0,0.0,,
Tyler,Herro,0.0,0.0,0.0,,
Fred,Hetzel,0.0,0.0,0.0,,
Arthur,Heyman,0.0,0.0,0.0,,
J.J.,Hickson,0.0,0.0,0.0,,
Nene,Hilario,0.0,0.0,0.0,,
George,Hill,0.0,0.0,0.0,,
Lawrence,Hill,0.0,0.0,0.0,,
Douglas,Holcomb,0.0,0.0,0.0,,
Jrue,Holiday,0.0,0.0,0.0,,
DaRon,Holmes II,0.0,0.0,0.0,,
Chet,Holmgren,0.0,0.0,0.0,,
Robert,Horry,0.0,0.0,0.0,,
De'Andre,Hunter,0.0,0.0,0.0,,
Lindsey,Hunter,0.0,0.0,0.0,,
Serge,Ibaka,0.0,0.0,0.0,,
Brandon,Ingram,0.0,0.0,0.0,,
Clark,Irving,0.0,0.0,0.0,,
Jaden,Ivey,0.0,0.0,0.0,,
Bobby,Jackson,0.0,0.0,0.0,,
Marc,Jackson,0.0,0.0,0.0,,
Phil,Jackson,0.0,0.0,0.0,,
Richard,Jefferson,0.0,0.0,0.0,,
Brandon,Jennings,0.0,0.0,0.0,,
Pooh,Jeter,0.0,0.0,0.0,,
Wali,Jones,0.0,0.0,0.0,,
Leon,Karl,0.0,0.0,0.0,,
Clark,Kellogg,0.0,0.0,0.0,,
Stacey,King,0.0,0.0,0.0,,
Travis,Knight,0.0,0.0,0.0,,
Howard,Komives,0.0,0.0,0.0,,
Kyle,Korver,0.0,0.0,0.0,,
Jonathan,Kuminga,0.0,0.0,0.0,,
Mitch,Kupchak,0.0,0.0,0.0,,
Kyle,Kuzma,0.0,0.0,0.0,,
Zach,LaVine,0.0,0.0,0.0,,
Christian,Laettner,0.0,0.0,0.0,,
Bob,Landry,0.0,0.0,0.0,,
Damian,Lillard,0.0,0.0,0.0,,
Jeremy,Lin,0.0,0.0,0.0,,
Kevin,Loder,0.0,0.0,0.0,,
Brook,Lopez,0.0,0.0,0.0,,
Trey,Lyles,0.0,0.0,0.0,,
Don,MacLean,0.0,0.0,0.0,,
Mark,Macon,0.0,0.0,0.0,,
Matt,Maloney,0.0,0.0,0.0,,
Danny,Manning,0.0,0.0,0.0,,
Jack,Marin,0.0,0.0,0.0,,
Donyell,Marshall,0.0,0.0,0.0,,
Kenyon,Martin,0.0,0.0,0.0,,
Jamal,Mashburn,0.0,0.0,0.0,,
Desmond,Mason,0.0,0.0,0.0,,
Scott,May,0.0,0.0,0.0,,
O.J.,Mayo,0.0,0.0,0.0,,
Travis,Mays,0.0,0.0,0.0,,
Floyd,McCloud,0.0,0.0,0.0,,
C.J.,McCollum,0.0,0.0,0.0,,
Aaron,McKie,0.0,0.0,0.0,,
Xavier,Mcdaniel,0.0,0.0,0.0,,
Ron,Mercer,0.0,0.0,0.0,,
Khris,Middleton,0.0,0.0,0.0,,
Chris,Mihm,0.0,0.0,0.0,,
Darius,Miles,0.0,0.0,0.0,,
Brandon,Miller,0.0,0.0,0.0,,
Donovan,Mitchell,0.0,0.0,0.0,,
Cuttino,Mobley,0.0,0.0,0.0,,
Eric,Montross,0.0,0.0,0.0,,
Chris,Morris,0.0,0.0,0.0,,
Emmanuel,Mudiay,0.0,0.0,0.0,,
Erwin,Mueller,0.0,0.0,0.0,,
Gheorghe,Muresan,0.0,0.0,0.0,,
Calvin,Murphy,0.0,0.0,0.0,,
Jamal,Murray,0.0,0.0,0.0,,
Calvin,Natt,0.0,0.0,0.0,,
Lloyd,Neal,0.0,0.0,0.0,,
Jamie,Newman,0.0,0.0,0.0,,
Norman,Nixon,0.0,0.0,0.0,,
Royce,O'Neale,0.0,0.0,0.0,,
Lamar,Odom,0.0,0.0,0.0,,
Jahlil,Okafor,0.0,0.0,0.0,,
Isaac,Okoro,0.0,0.0,0.0,,
Travis,Oliver,0.0,0.0,0.0,,
Billy,Owens,0.0,0.0,0.0,,
Nikola,Pekovic,0.0,0.0,0.0,,
Sam,Perkins,0.0,0.0,0.0,,
Wesley,Person,0.0,0.0,0.0,,
Morris,Peterson,0.0,0.0,0.0,,
Ricky,Pierce,0.0,0.0,0.0,,
Otto,Porter,0.0,0.0,0.0,,
Kevin,Porter Jr.,0.0,0.0,0.0,,
James,Posey,0.0,0.0,0.0,,
Olivier-Maxence,Prosper,0.0,0.0,0.0,,
Dino,Radja,0.0,0.0,0.0,,
Vladimir,Radmanovic,0.0,0.0,0.0,,
Zeljko,Rebraca,0.0,0.0,0.0,,
Quincy,Redd,0.0,0.0,0.0,,
David,Reece,0.0,0.0,0.0,,
Bryant,Reeves,0.0,0.0,0.0,,
J.R.,Reid,0.0,0.0,0.0,,
Isaiah,Rider,0.0,0.0,0.0,,
Stanley,Roberts,0.0,0.0,0.0,,
Glenn,Robinson III,0.0,0.0,0.0,,
Jeremiah,Robinson-Earl,0.0,0.0,0.0,,
Abraham,Rodman,0.0,0.0,0.0,,
Rodney,Rogers,0.0,0.0,0.0,,
Rajon,Rondo,0.0,0.0,0.0,,
Jalen,Rose,0.0,0.0,0.0,,
Ricky,Rubio,0.0,0.0,0.0,,
John,Rudd,0.0,0.0,0.0,,
Jeff,Ruland,0.0,0.0,0.0,,
Cazzie,Russell,0.0,0.0,0.0,,
Arvydas,Sabonis,0.0,0.0,0.0,,
Domantas,Sabonis,0.0,0.0,0.0,,
Dario,Saric,0.0,0.0,0.0,,
Dennis,Schroder,0.0,0.0,0.0,,
Byron,Scott,0.0,0.0,0.0,,
Dennis,Scott,0.0,0.0,0.0,,
Alperen,Sengun,0.0,0.0,0.0,,
Shaedon,Sharpe,0.0,0.0,0.0,,
Brian,Shaw,0.0,0.0,0.0,,
John,Shumate,0.0,0.0,0.0,,
Pascal,Siakam,0.0,0.0,0.0,,
Lionel,Simmons,0.0,0.0,0.0,,
Conrad,Sims,0.0,0.0,0.0,,
Cody,Singletary,0.0,0.0,0.0,,
Marcus,Smart,0.0,0.0,0.0,,
Charles,Smith,0.0,0.0,0.0,,
Joe,Smith,0.0,0.0,0.0,,
Steve,Smith,0.0,0.0,0.0,,
Jabari,Smith Jr.,0.0,0.0,0.0,,
Christophe,Sonnet,0.0,0.0,0.0,,
Felton,Spencer,0.0,0.0,0.0,,
Larry,Stewart,0.0,0.0,0.0,,
Stephen,Stipanovich,0.0,0.0,0.0,,
Rodney,Stuckey,0.0,0.0,0.0,,
Pape,Sy,0.0,0.0,0.0,,
Roy,Tarpley,0.0,0.0,0.0,,
Jae'Sean,Tate,0.0,0.0,0.0,,
Maurice,Taylor,0.0,0.0,0.0,,
Jeff,Teague,0.0,0.0,0.0,,
Daniel,Theis,0.0,0.0,0.0,,
Gabe,Theus,0.0,0.0,0.0,,
Tim,Thomas,0.0,0.0,0.0,,
Amen,Thompson,0.0,0.0,0.0,,
Ausar,Thompson,0.0,0.0,0.0,,
Mychal,Thompson,0.0,0.0,0.0,,
Rod,Thorn,0.0,0.0,0.0,,
Al,Thornton,0.0,0.0,0.0,,
Matisse,Thybulle,0.0,0.0,0.0,,
Yuri,Titov,0.0,0.0,0.0,,
Raymond,Townsend,0.0,0.0,0.0,,
Richard,Triptow,0.0,0.0,0.0,,
Kelly,Tripucka,0.0,0.0,0.0,,
Hedo,Turkoglu,0.0,0.0,0.0,,
Evan,Turner,0.0,0.0,0.0,,
Beno,Udrih,0.0,0.0,0.0,,
Thomas,Van Arsdale,0.0,0.0,0.0,,
Keith,Van Horn,0.0,0.0,0.0,,
Anderson,Varejao,0.0,0.0,0.0,,
Jay,Vincent,0.0,0.0,0.0,,
Sasha,Vujacic,0.0,0.0,0.0,,
Franz,Wagner,0.0,0.0,0.0,,
Milt,Wagner,0.0,0.0,0.0,,
Kemba,Walker,0.0,0.0,0.0,,
P.J.,Washington,0.0,0.0,0.0,,
Clarence,Weatherspoon,0.0,0.0,0.0,,
Nick,Weatherspoon,0.0,0.0,0.0,,
David,West,0.0,0.0,0.0,,
Coby,White,0.0,0.0,0.0,,
Dariq,Whitehead,0.0,0.0,0.0,,
Hassan,Whiteside,0.0,0.0,0.0,,
Andrew,Wiggins,0.0,0.0,0.0,,
Marvin,Williams,0.0,0.0,0.0,,
Walt,Williams,0.0,0.0,0.0,,
Corliss,Williamson,0.0,0.0,0.0,,
Brian,Winters,0.0,0.0,0.0,,
Sharone,Wright,0.0,0.0,0.0,,
Geraldo,Wright-Foreman,0.0,0.0,0.0,,
Jianlian,Yi,0.0,0.0,0.0,,
Lenny,York,0.0,0.0,0.0,,
Nick,Young,0.0,0.0,0.0,,
Cody,Zeller,0.0,0.0,0.0,,
Ivica,Zubac,0.0,0.0,0.0,,
